NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Palhoça;4211900;EIEF PIRA RUPA;42284260;2;2;1;0;0;0;0;1;0;0;0;0;14;4;;
Blumenau;4202404;CEI PROFESSOR EMILIANO STOLF;42284279;1;0;1;0;0;0;1;0;0;0;0;1;72;17;-26.96455843;-49.06171292
Capivari de Baixo;4203956;CEI MARIA DE LOURDES PEREIRA FERNANDES;42285267;1;0;1;0;0;0;0;1;0;0;0;0;127;19;-28.45206787;-48.95774418
Coronel Freitas;4204400;ESCOLA INTEGRAL MUNICIPAL PROFESSORA INES DOMINGAS TONON TASSONIERO;42285283;1;0;1;0;0;0;0;1;0;0;0;1;120;13;-26.91060626;-52.69943042
Braço do Norte;4202800;CEI ROSA MOTA DE SOUZA;42285305;1;0;1;0;0;0;0;1;0;0;0;1;82;4;-28.28989131;-49.11937249
Bom Jesus;4202537;CRECHE MUN FADA MADRINHA;42285321;1;0;1;0;0;0;0;1;0;0;0;1;51;12;-26.7365839;-52.3963545
Araranguá;4201406;INSTITUICAO ESPIRITA CASA DA FRATERNIDADE;42285330;1;0;1;0;0;0;0;0;1;0;0;0;;;;
Blumenau;4202404;CEI LEONARDO LAURINDO TERRES;42286263;1;0;1;0;0;0;1;0;0;0;0;1;71;14;-26.8573041;-49.1096945
Blumenau;4202404;CEI PROF JOAO BERTOLDO PETRY;42287260;1;0;1;0;0;0;0;1;0;0;0;1;177;40;-26.93486866;-49.13031765
Trombudo Central;4218608;CENTRO DE EDUCACAO INFANTIL PINGUINHO DE GENTE;42288266;2;0;1;0;0;0;0;1;0;0;0;1;71;4;-27.28968737;-49.79349598
Lontras;4209904;ESCOLA MUNICIPAL DE EDUCACAO BASICA IRMA MARIA TAMBOSI;42290279;1;0;1;0;0;0;1;0;0;0;0;1;549;21;-27.16579939;-49.54528859
Curitibanos;4204806;C E I NORMA BERNECK;42292271;1;0;1;0;0;0;1;0;0;0;0;1;194;15;-27.29375164;-50.58297629
Irani;4207809;CMEI PEDACINHO DO CEU;42292280;1;0;1;0;0;0;0;1;0;0;0;1;126;14;-27.0150046;-51.8796456
Florianópolis;4205407;ASSOC DE SURDOS DA GRANDE FLORIANOPOLIS ASGF;42292298;1;0;1;0;0;0;1;0;0;0;0;1;;;-27.5963158;-48.55141096
Tubarão;4218707;CEI IRENE BOTEGA COLLACO;42292301;1;0;1;0;0;0;1;1;0;0;0;1;109;12;-28.5305239;-49.0576178
Itaiópolis;4208104;PE MUN ANJOS DO AMANHA;42293260;2;0;1;0;0;0;0;0;1;0;0;0;28;6;-26.47657685;-49.8675638
