NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Canoinhas;4203808;EEB TEMPO FELIZ;42088836;1;0;1;0;0;0;1;0;0;0;0;0;335;28;-26.18838;-50.38948333
Florianópolis;4205407;COLEGIO ARTE E VIDA;42088917;1;0;1;0;0;0;1;0;0;0;0;1;166;14;-27.59415;-48.59457
Florianópolis;4205407;CENTRO EDUC SABEDORIA JUNIOR;42088941;1;0;1;0;0;0;1;0;0;0;0;1;263;23;-27.66621;-48.52892
Florianópolis;4205407;COLEGIO SANTA RITA DE CASSIA;42088950;1;0;1;0;0;0;1;0;0;0;0;1;145;14;-27.57552;-48.60004
Três Barras;4218301;CMEI PROFESSORA TANIA CRISTINA PORFIRIO;42089026;1;0;1;0;0;0;0;1;0;0;0;0;53;8;-26.15068;-50.32365
Três Barras;4218301;CMEI CLEA TRELA CASA;42089034;1;0;1;0;0;0;0;1;0;0;0;1;77;11;-26.12922;-50.30544
Três Barras;4218301;CMEI PROFESSORA VERA LUCIA KARVAT DUMAS;42089042;1;0;1;0;0;0;0;1;0;0;0;1;305;22;-26.14959;-50.3703
Três Barras;4218301;CMEI MERHY BECHARA SELEME;42089077;1;0;1;0;0;0;0;1;0;0;0;0;223;13;-26.10823;-50.32074
Florianópolis;4205407;ESCOLA INF ARCO IRIS DO UNIVERSO LTDA;42089093;1;0;1;0;0;0;1;0;0;0;0;1;49;3;-27.591269;-48.5418214
Três Barras;4218301;EEB GENERAL OSORIO;42089115;1;0;1;0;0;0;0;0;1;0;0;1;291;48;-26.10692337;-50.32108106
Três Barras;4218301;EBM GUITA FEDERMANN;42089123;1;0;1;0;0;0;0;1;0;0;0;0;684;38;-26.11849;-50.30511
Três Barras;4218301;ESCOLA REUNIDAS MUNICIPAL CYRIACO FELICIO DE SOUZA;42089140;1;0;1;0;0;0;0;1;0;0;0;0;45;6;-26.15065;-50.32365
Três Barras;4218301;EB MUN JOAO PACHECO DE MIRANDA LIMA;42089158;1;0;1;0;0;0;0;1;0;0;0;1;942;52;-26.14954;-50.37034
Três Barras;4218301;ESC MUN JOAO PEDRO DE OLIVEIRA;42089182;2;0;1;0;0;0;0;1;0;0;0;0;96;12;-26.20389;-50.24937
Três Barras;4218301;EEB COLOMBO MACHADO SALLES;42089255;1;0;1;0;0;0;0;1;0;0;0;1;383;35;-26.1371065;-50.31036594
Três Barras;4218301;EEB FREI MENANDRO KAMPS;42089263;1;0;1;0;0;0;1;1;0;0;0;0;603;46;-26.14966067;-50.36958669
Canoinhas;4203808;CEI FERNANDO PESSOA;42089271;1;0;1;0;0;0;0;1;0;0;0;1;76;7;-26.1949225;-50.41698522
Canoinhas;4203808;CENTRO DE EDUCACAO INFANTIL PEDRO BANDEIRA;42089280;1;0;1;0;0;0;0;1;0;0;0;1;125;9;-26.179425;-50.376325
Canoinhas;4203808;CEI MACHADO DE ASSIS;42089298;1;0;1;0;0;0;0;1;0;0;0;1;51;5;-26.17218886;-50.3739825
Canoinhas;4203808;CENTRO DE EDUCACAO INFANTIL PREFEITO ANTONIO SOUZA COSTA;42089301;1;0;1;0;0;0;0;1;0;0;0;1;154;13;-26.17510167;-50.41003833
Canoinhas;4203808;CEI CARLOS DRUMMOND DE ANDRADE;42089310;1;0;1;0;0;0;0;1;0;0;0;1;190;11;-26.18226018;-50.36340376
Canoinhas;4203808;EEB ALMIRANTE BARROSO;42089344;1;0;1;0;0;0;1;1;0;0;0;0;636;62;-26.18176312;-50.38976985
Canoinhas;4203808;EBM PRESIDENTE CASTELO BRANCO;42089352;1;0;1;0;0;0;1;0;0;0;0;0;509;26;-26.16653158;-50.40984524
Canoinhas;4203808;EBM DR AROLDO CARNEIRO DE CARVALHO;42089360;1;0;1;0;0;0;1;0;0;0;0;1;483;26;-26.16438459;-50.4018633
Bela Vista do Toldo;4202131;NUCLEO ESCOLAR MUNICIPAL JULIANA TOMPOROSKI KRULL;42089379;2;0;1;0;0;0;0;0;1;0;0;0;140;17;-26.4356409;-50.45311184
Canoinhas;4203808;EBM PROF ALZIRINHA DA SILVA CORREA;42089395;1;0;1;0;0;0;0;1;0;0;0;1;80;6;-26.19515548;-50.3697366
Canoinhas;4203808;ERM BONETES DE CIMA;42089425;2;0;1;0;0;0;0;0;1;0;0;1;14;2;-26.24296098;-50.56184848
Canoinhas;4203808;ERM CAMPINA DOS RIBEIROS;42089441;2;0;1;0;0;0;0;0;1;0;1;1;6;1;-26.48050167;-50.561955
Canoinhas;4203808;ERM CAMPO DOS BUENOS;42089450;2;0;1;0;0;0;0;0;1;0;0;1;3;1;-26.47615204;-50.58131808
