NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Criciúma;4204608;CEI AFASC JOAO LOCATELLI;42145040;1;0;1;0;0;0;1;1;0;0;0;1;51;11;-28.7200383;-49.40315191
Biguaçu;4202305;COLEGIO SUPER INCENTIVO LTDA ME;42145058;1;0;1;0;0;0;0;1;0;0;0;0;501;27;-27.49097;-48.65534
São Bento do Sul;4215802;ESCOLA ESPACO INFANTIL;42145066;1;0;1;0;0;0;1;0;0;0;0;1;48;7;-26.2531528;-49.38174005
Chapecó;4204202;ESCOLA DE ED INF E ENS FUND MAR AZUL LTDA;42145147;1;0;1;0;0;0;1;0;0;0;0;1;83;10;;
Lages;4209300;SENAI SC - LAGES;42145163;1;0;1;0;0;0;1;0;0;0;0;0;149;19;-27.8258221;-50.3131343
São Ludgero;4217006;CENTRO EDUCACIONAL INFANTIL IRMA STELLA;42145171;1;0;1;0;0;0;1;0;0;0;0;1;335;18;-28.32266577;-49.17798093
Jaraguá do Sul;4208906;CMEI CECILIA SATLER KARSTEN;42145201;1;0;1;0;0;0;1;0;0;0;0;1;257;11;-26.4443898;-49.0675269
Blumenau;4202404;UNIAO CRISTA ASSOCIACAO SOCIAL E EDUCACIONAL BOM AMIGO;42145236;1;0;1;0;0;0;1;0;0;0;0;1;162;21;-26.88996135;-49.11112242
Joinville;4209102;INSTITUTO ESCOLA DO TEATRO BOLSHOI NO BRASIL;42145252;1;0;1;0;0;0;1;0;0;0;0;0;66;13;-26.29255;-48.84355
Joinville;4209102;SESI SC - JOINVILLE TUPY;42145260;1;0;1;0;0;0;1;0;0;0;0;0;181;9;;
Brusque;4202909;CENTRO EDUC ESPACO DA CRIANCA;42145287;1;0;1;0;0;0;1;0;0;0;0;0;56;5;-27.1012465;-48.9233965
Tubarão;4218707;SENAI SC - TUBARAO;42145295;1;0;1;0;0;0;1;0;0;0;0;0;141;18;-28.48476951;-49.01599841
Indaial;4207502;CE REENCANTAR LTDA;42145325;1;0;1;0;0;0;1;0;0;0;0;0;46;9;-26.9015782;-49.2394939
São Bento do Sul;4215802;CEI MUN ESTRELA GUIA;42145333;1;0;1;0;0;0;0;1;0;0;0;1;52;4;-26.2818385;-49.33318347
Braço do Norte;4202800;CEI MUNDO ENCANTADO;42145350;2;0;1;0;0;0;0;1;0;0;0;1;152;6;-28.22629;-49.098635
Braço do Norte;4202800;CENTRO EDUCACIONAL INFANTIL ANA ALICE DA SILVA;42145368;1;0;1;0;0;0;1;0;0;0;0;1;77;5;-28.27982523;-49.14076901
Pomerode;4213203;CEIM PROFª WALTRUT SIEWERDT;42145376;1;0;1;0;0;0;0;1;0;0;0;1;91;8;-26.81556131;-49.16466476
Papanduva;4212205;ESCOLA MUNICIPAL PROFESSOR WALMIR LUCIO SENNA;42145406;1;0;1;0;0;0;0;1;0;0;0;1;254;16;-26.41323111;-50.14145968
Florianópolis;4205407;NEIM HASSIS;42145414;1;0;1;0;1;0;1;0;0;0;0;1;236;22;-27.6267241;-48.52567825
Florianópolis;4205407;COLEGIO NOSSA SENHORA DA CONCEICAO;42145430;1;0;1;0;0;0;1;0;0;0;0;1;320;25;-27.44786775;-48.39669908
Jaraguá do Sul;4208906;CMEI JONES CHIODINI;42145449;1;0;1;0;0;0;1;0;0;0;0;1;152;11;-26.5014129;-49.0972393
Jaraguá do Sul;4208906;EMEB PROF FRANCISCO SOLAMON;42145457;1;0;1;0;0;0;1;0;0;0;0;1;521;18;-26.4340688;-49.1499678
Camboriú;4203204;GEM MARLENE PEREIRA ZUCHI;42145473;1;0;1;0;0;0;1;0;0;0;0;1;498;21;-27.039166;-48.6511941
