NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Araquari;4201307;EEM SENADOR LUIZ HENRIQUE DA SILVEIRA;42152690;1;0;1;0;0;0;1;0;0;0;0;1;1502;56;-26.3950796;-48.8004436
Joinville;4209102;EEM GOVERNADOR LUIZ HENRIQUE DA SILVEIRA;42152704;1;0;1;0;0;0;1;0;0;0;0;0;940;52;-26.3609387;-48.8150857
Barra Velha;4202107;EEM SENADOR LUIZ HENRIQUE DA SILVEIRA;42152712;1;0;1;0;0;0;1;0;0;0;0;0;837;34;-26.6965205;-48.6863329
Joinville;4209102;EEM BAILARINA LISELOTT TRINKS;42152720;1;0;1;0;0;0;1;0;0;0;0;0;1195;68;-26.30047;-48.9010073
Garopaba;4205704;EEB PREFEITO LUIZ CARLOS LUIZ;42152739;1;0;1;0;0;0;1;1;0;0;0;0;664;42;-28.0288942;-48.638867
Indaial;4207502;EEB PROF ATTELA JENICHEN;42152747;1;0;1;0;0;0;1;0;0;0;0;0;305;35;-26.8762342;-49.2551641
Abdon Batista;4200051;CEDUP ERNESTO ANTONIO DEBASTIANI;42152755;1;0;1;0;0;0;1;0;0;0;0;1;122;26;;
Guaramirim;4206504;CEDUP PERFEITO MANOEL DE AGUIAR;42152763;1;0;1;0;0;0;0;1;0;0;0;0;305;39;;
Jaguaruna;4208807;CEI BRINCAR E APRENDER;42152780;1;0;1;0;0;0;0;1;0;0;0;1;297;22;-28.62247174;-49.02390306
Calmon;4203154;UD DE CALMON;42152798;1;0;1;0;0;0;1;0;0;0;0;1;41;11;-26.60232167;-51.09810333
Timbó Grande;4218251;UD DE TIMBO GRANDE;42152828;1;0;1;0;0;0;1;0;0;0;0;0;28;7;-26.6146443;-50.6725855
Campos Novos;4203600;UD UNIDADE PRISIONAL AVANCADA DE CAMPOS NOVOS;42152836;1;0;1;0;0;0;1;1;0;0;0;1;64;6;;
São Bernardino;4215752;UD DE SAO BERNARDINO;42152852;1;0;1;0;0;0;0;1;0;0;0;1;25;7;;
Jaguaruna;4208807;UD DE JAGUARUNA;42152879;1;0;1;0;0;0;1;0;0;0;0;0;11;4;-28.62474613;-49.01585142
Tubarão;4218707;UD PRESIDIO REGIONAL MASCULINO DE TUBARAO;42152895;1;0;1;0;0;0;1;0;0;0;0;0;10;3;-28.4600577;-49.0487165
Concórdia;4204301;UD PRESIDIO REGIONAL DE CONCORDIA;42152909;1;0;1;0;0;0;1;0;0;0;0;1;48;10;-27.24752097;-52.02261664
Videira;4219309;UD UNIDADE PRISIONAL AVANCADA DE VIDEIRA;42152917;1;0;1;0;0;0;1;0;0;0;0;0;14;7;;
Porto União;4213609;UD PRESIDIO REGIONAL DE PORTO UNIAO;42152925;1;0;1;0;0;0;1;0;0;0;0;1;29;8;-26.2385954;-51.08102214
Tijucas;4218004;UD PRESIDIO REGIONAL DE TIJUCAS;42152933;2;0;1;0;1;0;0;1;0;0;0;1;149;14;;
São José;4216602;COLEGIO ELITE CEB;42152950;1;0;1;0;0;0;1;0;0;0;0;1;136;10;-27.55412211;-48.62089726
Ituporanga;4208500;CENTRO DE ENSINO CLICK SOLUCOES;42152968;1;0;1;0;1;0;1;0;0;0;0;0;237;17;-27.4119869;-49.6049197
Ipumirim;4207700;NUCLEO EDUC MUN JOAO CANTON;42152992;1;0;1;0;0;0;0;1;0;0;0;0;151;10;-27.0796739;-52.1410493
Cocal do Sul;4204251;INSTITUICAO DE ED INF ZILDA BURIGO BOSA;42153018;1;0;1;0;0;0;1;0;0;0;0;1;76;15;-28.60971392;-49.33804926
Treze Tílias;4218509;CRECHE MUNICIPAL MARIA ANNA HAUSBERGER;42153026;1;0;1;0;0;0;1;0;0;0;0;1;65;8;-26.99989243;-51.41121382
Praia Grande;4213807;EB MUN LEONARDO PEDRO THOMAZ;42153034;1;0;1;0;0;0;1;0;0;0;0;1;153;12;-29.19524399;-49.9635359
Barra Velha;4202107;CEI PROFª DANIELE RAMON ESCHHOLZ SCHUCH;42153042;1;0;1;0;0;0;0;1;0;0;0;1;215;20;-26.7184707;-48.6857351
