NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Agronômica;4200309;ESC MUN ALTO MOSQUITINHO;42023378;2;0;1;0;0;0;0;1;0;0;0;1;71;8;-27.33902901;-49.7039637
Agronômica;4200309;EEB MARIA REGINA DE OLIVEIRA;42023513;1;0;1;0;0;0;1;0;0;0;0;0;574;42;-27.26679994;-49.71094441
Agrolândia;4200200;CENTRO DE EDUCACAO INFANTIL CHAPEUZINHO VERMELHO;42023530;2;0;1;0;0;0;1;0;0;0;0;1;45;6;-27.37807189;-49.83045224
Agrolândia;4200200;CENTRO DE EDUCACAO INFANTIL CRIANCA FELIZ;42023548;2;0;1;0;0;0;0;1;0;0;0;0;11;1;-27.5036253;-49.8033436
Agrolândia;4200200;CEI ESQUILO;42023556;1;0;1;0;0;0;0;1;0;0;0;1;7;2;-27.41486274;-49.82965688
Agrolândia;4200200;CENTRO EDUCACAO INFANTIL HANNA MISFELD;42023564;1;0;1;0;0;0;1;0;0;0;0;1;114;7;-27.42789296;-49.83905551
Agrolândia;4200200;CENTRO DE EDUCACAO INFANTIL PICA-PAU AMARELO;42023572;1;0;1;0;0;0;1;0;0;0;0;0;103;7;-27.39651685;-49.83832721
Agrolândia;4200200;CENTRO DE EDUCACAO JOAQUIM MUNIZ DA COSTA;42023653;2;0;1;0;0;0;0;1;0;0;0;0;18;3;-27.50359965;-49.80319169
Agrolândia;4200200;CENTRO DE EDUCACAO ADOLFO HEDEL;42023688;1;0;1;0;0;0;1;0;0;0;0;1;438;16;-27.4329357;-49.8436422
Agrolândia;4200200;CENTRO DE EDUCACAO RUDOLFO THEILACKER;42023700;1;0;1;0;0;0;1;0;1;0;0;1;106;6;-27.381254;-49.8219387
Agrolândia;4200200;EEB PEDRO AMERICO;42023718;1;0;1;0;0;0;1;0;0;0;0;0;847;44;-27.41261291;-49.82874007
Agrolândia;4200200;CENTRO DE EDUCACAO SAO JOAO;42023726;1;0;1;0;0;0;1;0;1;0;0;1;373;15;-27.396755;-49.8394967
Florianópolis;4205407;NEIM JULIA MARIA RODRIGUES;42023734;1;0;1;0;0;0;1;0;0;0;0;1;158;15;-27.58082527;-48.59175737
Trombudo Central;4218608;CENTRO DE EDUCACAO INFANTIL CINDERELA;42023742;1;0;1;0;0;0;0;1;0;0;0;1;58;3;-27.316581;-49.79781794
Braço do Trombudo;4202859;CEI EDSON ARNDT;42023750;1;0;1;0;0;0;0;1;0;0;0;1;27;2;-27.38253104;-49.94657863
Trombudo Central;4218608;CENTRO DE EDUCACAO INFANTIL JOHANNE SCHUTTE;42023769;1;0;1;0;0;0;0;1;0;0;0;1;63;2;-27.30297917;-49.79486912
Trombudo Central;4218608;CENTRO DE EDUCACAO INFANTIL MENINO JESUS;42023785;1;0;1;0;0;0;0;1;0;0;0;1;43;2;-27.30092078;-49.79062787
Braço do Trombudo;4202859;CEI TECLA GEORG;42023793;2;0;1;0;0;0;1;0;0;0;0;1;60;4;-27.33414747;-49.88036371
Braço do Trombudo;4202859;EEB ADOLFO BOVING;42023815;1;0;1;0;0;0;1;1;0;0;0;0;260;26;-27.35673458;-49.88260679
Braço do Trombudo;4202859;ESC NUCLEADA BRACO DO TROMBUDO KM 15;42023874;2;0;1;0;0;0;1;0;0;0;0;1;105;8;-27.33434178;-49.88025348
Braço do Trombudo;4202859;ESC NUCLEADA BRACO DO TROMBUDO KM 20;42023882;1;0;1;0;0;0;1;0;0;0;0;1;108;8;-27.369144;-49.8943842
Arroio Trinta;4201604;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA FABIANA APARECIDA NUNES POSSATO - CMEI PROFABI;42023920;1;0;1;0;0;0;1;0;0;0;0;1;196;19;-26.9276881;-51.34094634
Trombudo Central;4218608;EEB DR HERMANN BLUMENAU;42024021;1;0;1;0;0;0;1;0;0;0;0;0;543;38;-27.309012;-49.7961021
Ibirama;4206900;CENTRO DE EDUCACAO INFANTIL ABELHINHA FELIZ;42024030;1;0;1;0;0;0;0;1;0;0;0;1;200;20;-27.0844083;-49.5261583
José Boiteux;4209151;CENTRO DE EDUCACAO INFANTIL BRANCA DE NEVE;42024056;1;0;1;0;0;0;0;1;0;0;0;1;191;13;-26.95768089;-49.63118071
Ibirama;4206900;EEB ELISEU GUILHERME;42024137;1;0;1;0;0;0;1;1;0;0;0;1;622;38;-27.05818638;-49.52825549
Ibirama;4206900;ESCOLA MUNICIPAL TANCREDO NEVES;42024153;1;0;1;0;0;0;0;1;0;0;0;1;286;25;-27.11684547;-49.52665938
Ibirama;4206900;ESCOLA MUNICIPAL BAIRRO OPERARIO;42024188;1;0;1;0;0;0;1;0;0;0;0;1;168;15;-27.04733892;-49.51138018
Ibirama;4206900;ESCOLA MUNICIPAL CAMINHO DA ESTACAO;42024218;1;0;1;0;0;0;0;1;0;0;0;1;175;10;-27.07196679;-49.50132743
Ibirama;4206900;ESCOLA MUNICIPAL PAULO ANDRE MIGUEL;42024277;2;0;1;0;0;0;0;1;0;0;0;1;185;11;-27.05756153;-49.56520423
Ibirama;4206900;ESCOLA MUNICIPAL VERONICA KEIL;42024307;1;0;1;0;0;0;0;1;0;0;0;1;189;10;-27.07996988;-49.53060851
José Boiteux;4209151;CENTRO DE EDUCACAO INFANTIL RIO WIEGAND;42024420;2;0;1;0;0;0;0;1;0;0;0;1;16;2;-26.82649769;-49.60828713
José Boiteux;4209151;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL FRANCISCO BERTELLI;42024463;2;0;1;0;0;0;0;1;0;0;0;1;252;16;-26.8746906;-49.6448378
