NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Timbó;4218202;NUCLEO DE EDUCACAO INFANTIL ARCO IRIS;42144108;1;0;1;0;0;0;0;1;0;0;0;1;62;8;-26.79547182;-49.29715357
Rodeio;4215109;CRECHE ALMA GADOTTI STOLF;42144116;1;0;1;0;0;0;1;0;0;0;0;1;56;3;-26.8654512;-49.33196097
Pomerode;4213203;CEIM PROFª NORA KRUEGER DALLMANN;42144132;1;0;1;0;0;0;0;1;0;0;0;1;59;9;-26.74408167;-49.21950167
Blumenau;4202404;CEI EDGAR SASSE;42144140;1;0;1;0;0;0;1;0;0;0;0;1;170;37;-26.86007484;-49.04746254
Blumenau;4202404;CEI PROF ANDREA DA SILVA;42144159;1;0;1;0;0;0;1;0;0;0;0;1;180;17;-26.82394335;-49.09095976
Indaial;4207502;UEI ARAPONGAS;42144167;1;0;1;0;0;0;0;1;0;0;0;1;44;6;-26.86978781;-49.26217017
Indaial;4207502;CENTRO DE EDUCACAO DE JOVENS E ADULTOS;42144175;1;0;1;0;0;0;1;0;0;0;0;0;159;11;-26.8998978;-49.23072898
Indaial;4207502;UEI RECRIAR - PROFESSOR LEOPOLDO NICOLODELLI;42144183;1;0;1;0;0;0;1;0;0;0;0;1;107;10;-26.89060383;-49.19881222
Timbó;4218202;CEDUP DE TIMBO;42144191;1;0;1;0;0;0;1;0;0;0;0;0;283;43;-26.8363048;-49.261677
José Boiteux;4209151;EIEB LAKLANO;42144205;2;2;1;0;0;0;0;1;0;0;1;0;394;39;-26.895475;-49.67529667
Navegantes;4211306;CMEI PROFª SILVETE COUTO DE MIRANDA;42144221;1;0;1;0;0;0;1;0;0;0;0;1;448;23;-26.8569611;-48.6510014
Navegantes;4211306;CMEI PROFª ROSANA FATIMA GAYA BARRETO;42144230;1;0;1;0;0;0;1;0;0;0;0;1;222;17;-26.826553;-48.6354166
Navegantes;4211306;CENTRO EDUC MUN PORTAL DO SABER;42144248;1;0;1;0;0;0;1;0;0;0;0;0;238;11;-26.8767844;-48.6805303
Navegantes;4211306;CMEI LACI ANA DE BORBA CESARIO;42144280;1;0;1;0;0;0;1;0;0;0;0;0;248;12;-26.8721423;-48.686497
Navegantes;4211306;ESCOLA MUNICIPAL PROFª ENI ERNA GAYA;42144302;1;0;1;0;0;0;1;0;0;0;0;1;332;15;-26.8888277;-48.6566959
Balneário Camboriú;4202008;SOCIEDADE EDUC BALNEARIO CAMBORIU;42144329;1;0;1;0;0;0;1;0;0;0;0;0;170;22;-26.9923471;-48.6371635
Ilhota;4207106;ASSOCIACAO DE PAIS E AMIGOS EXCEPCIONAIS DE ILHOTA;42144337;1;0;1;0;0;0;1;0;0;0;0;0;;;-26.90244247;-48.8263481
Itapema;4208302;EMEB PREFEITO FRANCISCO VICTOR ALVES;42144345;1;0;1;0;0;0;1;1;0;0;0;1;1653;75;-27.13017526;-48.61899151
Camboriú;4203204;CEI NEIDE MERISIO MOLLERI;42144353;1;0;1;0;0;0;1;0;0;0;0;1;520;24;-27.0355483;-48.660209
Itajaí;4208203;CEI LUIZ ORSI JUNIOR;42144361;1;0;1;0;0;0;1;0;0;0;0;1;197;13;-26.8974915;-48.7401607
Itajaí;4208203;CEI PREF EDUARDO DADINHO CANZIANI;42144370;1;0;1;0;0;0;1;0;0;0;0;1;304;21;-26.9282527;-48.69892532
Itajaí;4208203;CE DE CORDEIROS;42144396;1;0;1;0;0;0;0;1;0;0;0;1;872;42;-26.8878737;-48.7014614
Itajaí;4208203;CEI ANTONIO JOAO VICENTE;42144400;1;0;1;0;0;0;0;0;1;0;0;1;184;15;-26.913071;-48.7016254
Pinhalzinho;4212908;CEIM PROF MAIRI FATIMA BOLIS BRUSCO;42144418;1;0;1;0;0;0;0;1;0;0;0;1;234;17;-26.85988;-52.97714833
São Carlos;4216008;CEIM RABISCO;42144426;1;0;1;0;0;0;1;1;0;0;0;1;27;4;-27.08801417;-53.00326937
Chapecó;4204202;CEIM CANTINHO DA IMAGINACAO;42144434;1;0;1;0;0;0;1;0;0;0;0;1;85;8;-27.0062642;-52.6417008
Xanxerê;4219507;CEMEI SONHO ENCANTADO;42144469;1;0;1;0;0;0;0;1;0;0;0;1;72;10;-26.8583424;-52.4020356
Santo Amaro da Imperatriz;4215703;CEJA MARIA MACEDO DA SILVA;42144493;1;0;1;0;0;0;1;0;0;0;0;1;194;10;-27.68683362;-48.78120953
