NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Porto Belo;4213500;CENTRO EDUC PROF ALDA F DOS SANTOS;42070465;1;0;1;0;0;0;1;0;0;0;0;1;163;23;-27.21227394;-48.60228617
Bombinhas;4202453;CEMEI PETER PAN;42070473;1;0;1;0;0;0;0;1;0;0;0;1;193;22;;
Porto Belo;4213500;NUCLEO DE DESENVOLVIMENTO INFANTIL ANTONIO MANOEL DOS SANTOS;42070481;1;0;1;0;0;0;1;0;0;0;0;1;44;14;-27.13617825;-48.5311995
Bombinhas;4202453;CEMEI PROFESSORA DEBORA SELMA DA SILVA SANTANA;42070490;1;0;1;0;0;0;1;1;0;0;0;1;165;20;-27.15191;-48.48974
Bombinhas;4202453;EEB PREF LEOPOLDO JOSE GUERREIRO;42070511;1;0;1;0;0;0;0;1;0;0;0;0;605;35;-27.1757374;-48.5233973
Porto Belo;4213500;ESCOLA MUNICIPAL CATARINA BENEDITA GUERREIRO;42070554;1;0;1;0;0;0;1;0;0;0;0;1;403;18;-27.15896081;-48.5776163
Porto Belo;4213500;ESC MUN FIDELIS ANTONIO GARCIA;42070562;2;0;1;0;0;0;1;0;0;0;0;1;147;11;-27.19694168;-48.6350149
Porto Belo;4213500;NUCLEO DE DESENVOLVIMENTO INFANTIL AUGUSTO BAYER;42070570;1;0;1;0;0;0;1;0;0;0;0;1;91;10;-27.17132361;-48.59126472
Bombinhas;4202453;EEB MARIA RITA FLOR;42070589;1;0;1;0;0;0;1;0;0;0;0;0;681;48;-27.1448867;-48.5133621
Porto Belo;4213500;ESC MUN PEDRO ALEMAO ANTONIO RICHARTZ;42070619;1;0;1;0;0;0;1;0;0;0;0;1;150;14;-27.18648694;-48.60125662
Porto Belo;4213500;EEB TIRADENTES;42070635;1;0;1;0;0;0;1;0;0;0;0;1;880;50;-27.1564804;-48.5428748
Itapema;4208302;CMEI BRANCA DE NEVE;42070651;1;0;1;0;0;0;1;0;0;0;0;1;279;17;-27.13346613;-48.600007
Itapema;4208302;CMEI CLUBE DO MICKEY;42070660;1;0;1;0;0;0;0;1;0;0;0;1;197;15;-27.09415991;-48.62789173
Itapema;4208302;CMEI RITA MARIA DE JESUS REBELO;42070686;1;0;1;0;0;0;0;1;0;0;0;1;299;30;-27.10426281;-48.61881139
Itapema;4208302;CMEI ABELHINHA FELIZ;42070694;1;0;1;0;0;0;0;1;0;0;0;1;181;21;-27.0825429;-48.6178758
Itapema;4208302;CMEI SOLDADINHO DE CHUMBO;42070716;1;0;1;0;0;0;0;1;0;0;0;1;146;12;-27.0914469;-48.6127707
Itapema;4208302;EMEB OSWALDO DOS REIS;42070724;1;0;1;0;0;0;0;1;0;0;0;1;844;41;-27.0946622;-48.6261003
Itapema;4208302;EEB ANITA GARIBALDI;42070732;1;0;1;0;0;0;1;0;0;0;0;1;979;52;-27.1371812;-48.5959093
Itapema;4208302;EMEB VEREADOR PAULO REIS;42070759;2;0;1;0;0;0;0;1;0;0;0;1;692;38;-27.1427388;-48.6506779
Itapema;4208302;EMEB JOAQUIM VICENTE DE OLIVEIRA;42070767;1;0;1;0;0;0;1;0;0;0;0;1;516;32;-27.10417933;-48.61807516
Itapema;4208302;EMEB LUIZ FRANCISCO VIEIRA;42070775;1;0;1;0;0;0;1;1;0;0;0;1;488;28;-27.06097733;-48.60044205
Itapema;4208302;ESCOLA CIVICO MILITAR MARIA LINHARES DE SOUZA;42070791;1;0;1;0;0;0;1;1;0;0;0;1;1320;62;-27.0851193;-48.618724
Abelardo Luz;4200101;CEI PIERINA FOERNER ANDREIS;42070805;1;0;1;0;0;0;0;1;0;0;0;0;172;28;-26.5742782;-52.3242669
Itapema;4208302;EEB PREF OLEGARIO BERNARDES;42070813;1;0;1;0;0;0;1;1;0;0;0;1;1338;74;-27.0912895;-48.6114982
Ermo;4205191;EEB MUN JOAO MORO;42070821;2;0;1;0;0;0;0;1;0;0;0;0;366;29;-28.99056287;-49.64276412
Pomerode;4213203;EEBM PROFª NOEMI VIEIRA DE C SCHROEDER;42070848;1;0;1;0;0;0;0;1;0;0;0;1;329;27;-26.7741118;-49.16299352
Santa Rosa do Sul;4215653;CEI DONA ALZIRA;42070856;1;0;1;0;0;0;0;1;0;0;0;1;34;3;-29.12649448;-49.67749647
Navegantes;4211306;CMEI PROFª REGINA MARLY DA COSTA;42070864;1;0;1;0;0;0;1;1;0;0;0;0;568;22;-26.83354584;-48.64487231
São Miguel do Oeste;4217204;CEI CRIANCA CIDADA;42070872;1;0;1;0;0;0;0;1;0;0;0;1;107;10;-26.7640648;-53.5040142
Joinville;4209102;CENTRO EDUCACIONAL CONEXAO;42070880;1;0;1;0;0;0;1;0;0;0;0;0;207;21;-26.29365;-48.84173
Luiz Alves;4210001;EEB GOV IRINEU BORNHAUSEN;42070899;1;0;1;0;0;0;1;1;0;0;0;0;405;28;-26.74381625;-48.83706453
