NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Concórdia;4204301;IFC - CAMPUS CONCORDIA;42048230;1;0;1;1;1;0;0;1;0;0;0;1;559;73;-27.20421706;-52.08314534
Lindóia do Sul;4209854;NUCLEO DE EDUCACAO 15 DE NOVEMBRO;42048532;2;0;1;0;0;0;0;1;0;0;0;1;41;7;-27.09005766;-52.03546812
Lindóia do Sul;4209854;EEB PE IZIDORO BENJAMIM MORO;42048648;1;0;1;0;0;0;0;1;0;0;0;0;322;27;-27.05237288;-52.08198505
Concórdia;4204301;EEB PROF OLAVO CECCO RIGON;42048656;1;0;1;0;0;0;1;1;0;0;0;0;875;66;-27.23337333;-52.022605
Canelinha;4203709;EIEF KUARAY PAPA;42048710;2;2;1;0;0;0;0;0;0;1;0;0;27;5;;
Concórdia;4204301;EEB PROF MANSUETO BOFF;42048729;1;0;1;0;0;0;1;1;0;0;0;0;581;49;-27.230345;-52.01438167
Concórdia;4204301;EEB ELIDIA MARIA BIEZUS;42048737;2;0;1;0;0;0;0;1;0;0;0;1;134;16;-27.26593258;-51.9082197
Concórdia;4204301;EBM PARQUE DE EXPOSICOES;42049032;1;0;1;0;0;0;1;0;0;0;0;1;350;24;-27.22694441;-52.00389681
Concórdia;4204301;EEB DEODORO;42049091;1;0;1;0;0;0;1;0;0;0;0;1;778;42;-27.2306066;-52.0232053
Concórdia;4204301;EEB DOGELLO GOSS;42049105;2;0;1;0;0;0;0;1;0;0;0;1;120;20;-27.28682246;-51.87045927
Concórdia;4204301;EBM IRMAO MIGUEL;42049130;1;0;1;0;0;0;1;1;0;0;0;1;293;30;-27.24520045;-51.95536301
Presidente Castello Branco;4213906;ESCOLA MUNICIPAL TAQUARAL;42049245;2;0;1;0;0;0;0;1;0;0;0;1;25;7;;
Presidente Castello Branco;4213906;EEB DOIS IRMAOS;42049253;1;0;1;0;0;0;0;1;0;0;0;1;133;14;-27.22167396;-51.80962393
Concórdia;4204301;EEF FRANCISCO BAGATINI;42049300;2;0;1;0;0;0;0;1;0;0;0;1;78;13;-27.28659159;-52.08751361
Concórdia;4204301;GEM NOVA BRASILIA;42049555;1;0;1;0;0;0;1;1;0;0;0;1;171;23;;
Concórdia;4204301;EEB DOMINGOS MAGARINOS;42049652;1;0;1;0;0;0;0;1;0;0;0;0;221;23;-27.30434089;-51.99545735
Concórdia;4204301;EEB SAO JOAO BATISTA DE LA SALLE;42049660;1;0;1;0;0;0;1;0;0;0;0;1;592;50;-27.23938;-52.03946667
Alto Bela Vista;4200754;EEB TEIXEIRA DE FREITAS;42049679;1;0;1;0;0;0;0;0;1;0;0;1;141;16;-27.43231642;-51.90795422
Concórdia;4204301;EEB WALTER FONTANA;42049695;1;0;1;0;0;0;0;1;0;0;0;1;543;46;-27.23873;-52.032665
Concórdia;4204301;EBM GIUSEPPE SETTE;42049709;1;0;1;0;0;0;0;1;0;0;0;1;678;43;-27.24651833;-52.02192833
Peritiba;4212601;EEB IRMA ANUNCIATA SPERANDIO;42049725;1;0;1;0;0;0;1;0;0;0;0;1;234;27;-27.37209667;-51.90407
Presidente Castello Branco;4213906;CENTRO MUNICIPAL EDUCACAO INFANTIL ACALANTO;42049822;1;0;1;0;0;0;0;1;0;0;0;1;52;10;-27.22241248;-51.80964706
Ipumirim;4207700;NUCLEO EDUCACIONAL MUNICIPAL PROFESSOR CLAUDINO LOCATELLI;42049830;1;0;1;0;0;0;0;1;0;0;0;1;541;46;-27.07365072;-52.13591943
Ipumirim;4207700;NEM PREFEITO ISIDORO GIACOMO SAVARIS;42049865;2;0;1;0;0;0;0;1;0;0;0;1;81;11;-27.06310833;-52.18353333
Ipumirim;4207700;EEF PREF ISIDORO GIACOMO SAVARIS;42049911;2;0;1;0;0;0;0;1;0;0;0;1;34;9;-27.06309833;-52.18357
Ipumirim;4207700;EEB ORIDES ROVANI;42049920;2;0;1;0;0;0;0;1;0;0;0;0;70;14;-26.99569644;-52.22730504
Ipumirim;4207700;NUCLEO EDUC MUN PROFESSOR JOAO JACOB NICODEM;42050227;2;0;1;0;0;0;0;1;0;0;0;0;35;6;-27.0913372;-52.09755002
Ipumirim;4207700;EEB BENJAMIM CARVALHO DE OLIVEIRA;42050243;1;0;1;0;0;0;0;0;1;0;0;0;342;33;-27.0753338;-52.1340596
Seara;4217501;CEI MUN CINDERELA;42050278;1;0;1;0;0;0;1;0;0;0;0;1;111;9;-27.1506769;-52.3089646
Arvoredo;4201653;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PINGO DE GENTE;42050286;1;0;1;0;0;0;0;1;0;0;0;1;132;18;-27.0749221;-52.4585809
Seara;4217501;ESC NUCLEO MUN CARAIBA;42050294;2;0;1;0;0;0;0;1;0;0;0;1;115;11;-27.2148241;-52.3261891
Seara;4217501;CEI MUN DONA ILSE;42050308;1;0;1;0;0;0;1;0;0;0;0;1;313;28;-27.1609579;-52.3203439
Seara;4217501;EEB ELISABETHE MATILDE SIMON;42050316;2;0;1;0;0;0;0;0;1;0;1;0;80;15;-27.16361333;-52.4241
Seara;4217501;EEF BATISTA PALUDO;42050324;2;0;1;0;0;0;0;0;0;1;0;0;45;10;-27.21454665;-52.32579652
Arvoredo;4201653;EEB PROF BENTA CARDOSO;42050340;1;0;1;0;0;0;0;1;0;0;1;0;233;17;-27.07705167;-52.455885
Seara;4217501;EIEF CACIQUE PIRA;42050774;2;2;1;0;0;0;0;0;1;0;1;1;11;3;-27.14222667;-52.444585
Seara;4217501;ESC MUN NUCLEO DEOLINDO ZILIO;42050804;2;0;1;0;0;0;1;1;0;0;0;1;352;26;-27.1380575;-52.325739
Seara;4217501;ESC NUCLEO MUN SAO RAFAEL;42050880;2;0;1;0;0;0;0;1;0;0;0;1;101;17;-27.0843909;-52.2854962
Seara;4217501;EEB RAIMUNDO CORREA;42050898;1;0;1;0;0;0;1;1;0;0;0;1;663;43;-27.1506441;-52.3043062
Seara;4217501;EEB ROSINA NARDI;42050901;1;0;1;0;0;0;1;0;0;0;0;1;287;32;-27.164611;-52.323231
Seara;4217501;EEB SEARA;42050944;1;0;1;0;0;0;1;0;0;0;0;1;685;43;-27.16113667;-52.31856833
Ipira;4207601;CENTRO DE EDUCACAO INFANTIL CHAPEUZINHO VERMELHO;42050952;1;0;1;0;0;0;0;1;0;0;0;0;93;13;-27.40175;-51.77858
