NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Braço do Norte;4202800;CEI ANA ROHLING WIGGERS;42104327;1;0;1;0;0;0;1;0;0;0;0;1;136;6;-28.28693097;-49.1641248
São Francisco do Sul;4216206;EB MUN DR ROGERIO ZATTAR;42104599;1;0;1;0;0;0;0;1;0;0;0;0;802;39;-26.2056615;-48.5396162
São Miguel do Oeste;4217204;CEDUP GETULIO VARGAS;42104610;2;0;1;0;0;0;0;1;0;0;0;1;377;28;-26.79456848;-53.5089507
Chapecó;4204202;COLEGIO ADVENTISTA DE CHAPECO;42104637;1;0;1;0;0;0;1;0;0;0;0;1;778;34;-27.10254;-52.6111
Chapecó;4204202;CENTRO EDUCACIONAL DOM BOSCO;42104645;1;0;1;0;0;0;1;0;0;0;0;1;267;19;-27.1031322;-52.6209197
José Boiteux;4209151;EIEB VANHECU PATTE;42104866;2;2;1;0;0;0;0;0;1;0;1;0;109;23;-26.77524434;-49.64480935
Penha;4212502;CEI LACI SIMAO CORREA;42104882;1;0;1;0;0;0;1;0;0;0;0;0;91;9;-26.7972795;-48.67334318
Sombrio;4217709;E E B MUN PROFª NAIR ALVES BRATTI;42104904;1;0;1;0;0;0;1;0;0;0;0;0;553;32;-29.10422665;-49.63071157
Sombrio;4217709;CEI AUTA COLARES COELHO;42104920;1;0;1;0;0;0;0;1;0;0;0;1;92;4;-29.09691683;-49.64056266
Araranguá;4201406;EBM ALMERINDO MANOEL DA LUZ;42104980;1;0;1;0;0;0;0;1;0;0;0;1;174;12;-28.96494333;-49.51822333
Itajaí;4208203;CEI NS DAS GRACAS;42105005;1;0;1;0;0;0;1;0;0;0;0;0;162;14;-26.91746287;-48.66952444
Itajaí;4208203;CEI PROFª MAURICELIA A DO NASCIMENTO;42105013;1;0;1;0;0;0;0;1;0;0;0;1;236;15;-26.92853486;-48.69519614
Itajaí;4208203;CEI TANCREDO NEVES;42105021;1;0;1;0;0;0;1;0;0;0;0;1;119;13;-26.8969766;-48.6927858
Itajaí;4208203;EB ARIRIBA;42105030;1;0;1;0;0;0;1;0;0;0;0;1;205;22;-26.9571938;-48.6451586
Curitibanos;4204806;CENTRO DE EDUCACAO INFANTIL SAO FRANCISCO DE ASSIS;42105072;1;0;1;0;0;0;1;0;0;0;0;1;149;10;-27.28351216;-50.59195862
Romelândia;4215208;PE REINO DA ALEGRIA;42105153;1;0;1;0;0;0;0;1;0;0;0;0;72;6;-26.67481;-53.32103833
Anchieta;4200804;JARDIM DE INFANCIA PEQUENO EXEMPLAR;42105196;2;0;1;0;0;0;0;0;1;0;0;0;28;3;-26.49125269;-53.2774053
Rio do Sul;4214805;CEI ULRICH HUBSCH;42105234;1;0;1;0;0;0;1;1;0;0;0;1;133;13;-27.19395992;-49.6011668
Rio do Sul;4214805;CE GUILHERME BUTZKE;42105242;1;0;1;0;0;0;1;1;0;0;0;1;249;19;-27.17775821;-49.58394228
Morro da Fumaça;4211207;CEI ESTACAO CRIANCA;42105293;1;0;1;0;0;0;1;1;0;0;0;1;88;17;-28.60413833;-49.24940837
Caçador;4203006;CEI MINIE;42105323;1;0;1;0;0;0;1;0;0;0;0;1;64;4;-26.7810065;-50.9943121
São Bento do Sul;4215802;CEI MUN NOSSO MUNDO;42105366;1;0;1;0;0;0;1;1;0;0;0;1;207;21;-26.2449884;-49.3785086
Rio Negrinho;4215000;EMEBI PROF ARNALDO DE ALMEIDA OLIVEIRA;42105390;1;0;1;0;0;0;0;1;0;0;0;1;124;17;-26.24268305;-49.50005572
Navegantes;4211306;CENTRO EDUC PROFª MARIA DE LOURDES C CABRAL;42105439;1;0;1;0;0;0;1;0;0;0;0;0;2065;87;-26.8710424;-48.6827898
Itapema;4208302;COLEGIO ATLANTICO;42105447;1;0;1;0;0;0;1;0;0;0;0;1;617;43;-27.1356451;-48.6075974
Joinville;4209102;CENTRO DE EDUCACAO INFANTIL ELIANE KRUGER;42105471;1;0;1;0;0;0;0;1;0;0;0;1;245;10;;
Joinville;4209102;CENTRO DE EDUCACAO INFANTIL CIRANDA CIRANDINHA;42105480;1;0;1;0;0;0;1;0;0;0;0;1;183;9;-26.26785;-48.80408
