NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Blumenau;4202404;CENTRO EDUCACIONAL DE JORNADA AMPLIADA DA SECRETARIA MUNICIPAL DE EDUCACAO I - CEMATEPCA I;42159954;1;0;1;0;0;0;1;0;0;0;0;1;;;-26.93164333;-49.05485
Blumenau;4202404;CENTRO EDUCACIONAL DE JORNADA AMPLIADA DA SECRETARIA MUNICIPAL DE EDUCACAO II - CEMATEPCA II;42159962;1;0;1;0;0;0;1;0;0;0;0;1;;;;
São José;4216602;CENTRO EDUCACIONAL MADRE PAULINA;42159970;1;0;1;0;0;0;1;0;0;0;0;1;19;3;-27.58754127;-48.61136707
Florianópolis;4205407;SENAI SC - CENTRO DE EDUCACAO DIGITAL;42159989;1;0;1;0;0;0;1;0;0;0;0;0;3133;83;-27.5479141;-48.49805477
Florianópolis;4205407;EBM PROFESSORA NEUZA PAULA DA SILVEIRA;42159997;1;0;1;0;0;0;1;0;0;0;0;0;646;22;-27.43563824;-48.40874378
São Miguel do Oeste;4217204;ESR ACOES EDUCATIVAS EXCLUSIVAS LTDA;42160014;1;0;1;0;0;0;1;1;0;0;0;1;18;1;;
Porto Belo;4213500;NDI ISA HENNING TIMMERMANS;42160022;2;0;1;0;0;0;1;0;0;0;0;1;35;6;;
Indaial;4207502;CENTRO DE DESENVOLVIMENTO INFANTIL VALE DOS ALECRINS;42160030;1;0;1;0;0;0;1;0;0;0;0;1;51;5;-26.89468485;-49.23027302
Florianópolis;4205407;ALOHA SCHOOL BILINGUAL EDUCATION;42160049;1;0;1;0;0;0;0;1;0;0;0;1;125;8;-27.66635949;-48.47941323
Balneário Camboriú;4202008;INVOLVE SCHOOL;42160057;1;0;1;0;0;0;1;0;0;0;0;1;199;21;;
Rio Negrinho;4215000;ESCOLA TECNICA SABER;42160065;1;0;1;0;0;0;1;0;0;0;0;1;167;10;;
Palhoça;4211900;COLEGIO FORMULA;42160073;1;0;1;0;0;0;1;0;0;0;0;1;390;41;-27.63660108;-48.68387199
Florianópolis;4205407;GAIA CURSO E COLEGIO;42160081;1;0;1;0;1;0;1;0;0;0;0;1;238;15;-27.59343335;-48.54607706
Chapecó;4204202;CENTRO DE EDUCACAO INFANTIL SONHO DE CRIANCA;42160090;1;0;1;0;0;0;1;0;0;0;0;0;71;4;;
São José;4216602;COLEGIO ATUAL;42160103;1;0;1;0;0;0;1;0;0;0;0;0;128;8;;
São José;4216602;ALPHA LANGUAGE BILINGUE ALPHA BABY;42160111;1;0;1;0;0;0;1;0;0;0;0;1;121;13;;
Braço do Norte;4202800;SESI SC - BRACO DO NORTE II;42160138;1;0;1;0;0;0;1;0;0;0;0;0;116;3;-28.2799738;-49.14699817
Joinville;4209102;JARDIM DE INFANCIA CURUPIRA LTDA;42160146;1;0;1;0;0;0;1;0;0;0;0;1;128;10;;
Itapema;4208302;CMEI PROFESSORA HUGA SOUZA SARAGOSSA;42160154;1;0;1;0;0;0;0;1;0;0;0;1;308;21;;
Florianópolis;4205407;CENTRO DE EDUCACAO CANADENSE EM FLORIANOPOLIS EIRELI;42160170;1;0;1;0;0;0;1;0;0;0;0;0;191;11;;
Videira;4219309;CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO CAESP DE VIDEIRA;42160189;1;0;1;0;0;0;0;1;0;0;0;1;;;;
Chapecó;4204202;BETI COLOMBELLI CENTRO DE ENSINO LTDA;42160197;1;0;1;0;0;0;0;1;0;0;0;0;59;4;;
Jaraguá do Sul;4208906;CENTRO EDUCACIONAL DOM LTDA;42160219;1;0;1;0;0;0;1;0;0;0;0;1;111;5;;
Tubarão;4218707;CENTRO DE EDUCACAO INFANTIL SAPEQUINHAS II;42160227;1;0;1;0;0;0;1;0;0;0;0;1;165;7;-28.48049894;-48.9965568
Joinville;4209102;CENTRO DE ENSINO GRAU TECNICO - JOINVILLE - SC;42160243;1;0;1;0;0;0;1;0;0;0;0;9;165;19;;
Corupá;4204509;CENTRO DE EDUCACAO INFANTIL HANSA KIDS;42160251;1;0;1;0;0;0;1;0;0;0;0;1;36;5;;
Monte Carlo;4211058;ESCOLA MUNICIPAL DE JOVENS E ADULTOS MARIA DE LOURDES PISANI;42160260;1;0;1;0;0;0;1;0;0;0;0;0;19;1;;
Florianópolis;4205407;CENTRO EDUCACIONAL ESPACO ESTIMULAR;42160278;1;0;1;0;0;0;0;0;1;0;0;1;64;7;-27.50796834;-48.42415193
Palhoça;4211900;INSTITUICAO DE ENSINO PALHOCA;42160286;1;0;1;0;0;0;1;0;0;0;0;9;77;8;;
Lages;4209300;CENTRO DE EDUCACAO SONHO DE CRIANCA;42160294;1;0;1;0;0;0;1;0;0;0;0;0;25;7;;
Pomerode;4213203;CEI LUGAR DE ANJOS;42160308;1;0;1;0;0;0;0;1;0;0;0;1;31;3;-26.72895254;-49.17948774
Itajaí;4208203;FLAMBOYANT CENTRO DE EDUCACAO INFANTIL;42160316;1;0;1;0;0;0;0;1;0;0;0;1;63;7;;
Brusque;4202909;JARDIM DE INFANCIA VALE DO GIRASSOL;42160324;1;0;1;0;0;0;1;0;0;0;0;1;45;3;-27.10756712;-48.92837815
Blumenau;4202404;CENTRO DE EDUCACAO INFANTIL FRUTO DO AMANHA;42160332;1;0;1;0;0;0;1;0;0;0;0;1;109;6;-26.86166265;-49.05412644
Blumenau;4202404;ESPACO EDUCACIONAL AQUARELA LTDA;42160340;1;0;1;0;0;0;1;0;0;0;0;1;46;5;-26.87351984;-49.087434
Blumenau;4202404;CENTRO DE EDUCACAO INFANTIL GENTE MIUDA;42160359;1;0;1;0;0;0;1;0;0;0;0;1;65;4;;
Bom Retiro;4202602;CEDUC CENTRO DE EDUCACAO CRISTA DIVINO SABER;42160367;1;0;1;0;0;0;1;0;0;0;0;0;150;15;;
Brusque;4202909;CENTRO DE EDUCACAO INFANTIL PREFEITO HYLARIO ZEN;42160375;1;0;1;0;0;0;1;1;0;0;0;1;206;17;-27.12141189;-48.94823732
Florianópolis;4205407;AZ FLORIPA;42160383;1;0;1;0;0;0;1;0;0;0;0;1;120;37;;
Lontras;4209904;CENTRO DE EDUCACAO INFANTIL ERICK WEISS;42160391;1;0;1;0;0;0;1;0;0;0;0;1;61;6;-27.16696933;-49.54367453
Tubarão;4218707;UD PENITENCIARIA MASCULINA DE TUBARAO;42160413;2;0;1;0;0;0;1;0;0;0;0;0;58;4;;
Itajaí;4208203;ALFA URGENCIA E EMERGENCIA;42160421;1;0;1;0;0;0;1;0;0;0;0;1;22;9;;
Balneário Camboriú;4202008;CEI DESENVOLVER;42160430;1;0;1;0;0;0;1;0;0;0;0;9;72;4;;
Rio Fortuna;4214904;CEDUP JOSE BUSS;42160448;2;0;1;0;0;0;0;1;0;0;0;1;90;21;-28.15077378;-49.12691685
Blumenau;4202404;EEB SENADOR EVELASIO VIEIRA;42160456;1;0;1;0;0;0;1;1;0;0;0;1;843;34;-26.85155682;-49.11803245
Florianópolis;4205407;ESCOLA JARDINS;42160464;1;0;1;0;1;0;1;0;0;0;0;1;73;11;;
Itajaí;4208203;CENTRO EDUCACIONAL RECANTO DA CRIANCA;42160472;1;0;1;0;0;0;1;0;0;0;0;9;138;9;;
Criciúma;4204608;CENTRO DE EDUCACAO INFANTIL ANJO DA GUARDA;42160480;1;0;1;0;0;0;1;0;0;0;0;1;54;6;;
Joinville;4209102;ESCOLA ALFA JOINVILLE EI E EF;42160499;1;0;1;0;0;0;1;0;0;0;0;1;235;23;;
Criciúma;4204608;ABBA PAI SCHOOL;42160510;1;0;1;0;0;0;1;0;0;0;0;1;78;8;-28.69134605;-49.37771149
São João Batista;4216305;CENTRO EDUCACIONAL SEMEAR;42160529;1;0;1;0;0;0;1;0;0;0;0;1;81;9;;
São Cristóvão do Sul;4216057;UD PENITENCIARIA DA REGIAO DE CURITIBANOS;42160537;1;0;1;0;0;0;1;0;0;0;0;1;207;27;-27.26662204;-50.43310425
Barra Velha;4202107;COLEGIO TEOREMA;42160545;1;0;1;0;0;0;1;0;0;0;0;1;149;24;;
Mafra;4210100;CENTRO DE EDUCACAO INFANTIL MUNICIPAL NOSSA SENHORA DAS GRACAS;42160553;1;0;1;0;0;0;1;1;0;0;0;1;145;16;-26.10000801;-49.81530665
Anchieta;4200804;CIA LITA ESCOLA DE EDUCACAO INFANTIL LTDA;42160561;1;0;1;0;0;0;0;1;0;0;0;1;4;1;-26.53429667;-53.32786333
Imbituba;4207304;CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE ANTONIO DOS REIS;42160570;1;0;1;0;0;0;0;1;0;0;0;1;201;33;-28.23538333;-48.67057833
Imbituba;4207304;CENTRO MUNICIPAL DE EDUCACAO INFANTIL NILSO PEDRO PEREIRA;42160588;1;0;1;0;0;0;1;0;0;0;0;1;77;10;-28.15252167;-48.69125167
Joinville;4209102;ESCOLA PROEZA DO SABER;42160596;1;0;1;0;0;0;1;0;0;0;0;1;60;16;;
Florianópolis;4205407;ESCOLA TECNICA RCTEC;42160618;1;0;1;0;0;0;1;0;0;0;0;0;20;6;;
Tubarão;4218707;CEI THERESA DA SILVA ROSENDO;42160626;1;0;1;0;0;0;1;1;0;0;0;0;253;30;-28.48965437;-49.02249442
Tubarão;4218707;CENTRO DE EDUCACAO INFANTIL ACALANTO BABY;42160634;1;0;1;0;0;0;1;0;0;0;0;1;96;5;-28.47517;-49.01600833
Blumenau;4202404;COC BLUMENAU;42160642;1;0;1;0;0;0;1;0;0;0;0;1;119;24;;
Florianópolis;4205407;CURSO E COLEGIO CRIATIVO;42160650;1;0;1;0;0;0;1;0;0;0;0;1;150;18;;
Itajaí;4208203;CENTRO DE EDUCACAO INFANTIL KATIUSCIA DA GRACA VICENTE;42160669;2;0;1;0;0;0;1;0;0;0;0;1;64;9;;
Balneário Piçarras;4212809;CEI MARCELA PEREIRA RIBEIRO CHEGATTI;42160677;1;0;1;0;0;0;1;0;0;0;0;0;236;19;;
Campos Novos;4203600;MARVINTEC EAD;42160685;1;0;1;0;0;0;1;0;0;0;0;0;34;4;;
Penha;4212502;CENTRO DE EDUCACAO INFANTIL PROFESSOR DECIO JOSE CUSTODIO;42160693;1;0;1;0;0;0;1;0;0;0;0;0;142;11;-26.81167607;-48.64845376
Tijucas;4218004;CEI HERCILIO GIACOMOSSI;42160707;1;0;1;0;0;0;0;1;0;0;0;1;101;8;;
Palhoça;4211900;COLEGIO ADVENTISTA PALHOCA;42160715;1;0;1;0;0;0;1;0;0;0;0;1;1415;51;-27.63911557;-48.67510848
Criciúma;4204608;CEMJA MARIA SANTIAGO FERREIRA;42160723;1;0;1;0;0;0;1;0;0;0;0;1;266;22;;
Itajaí;4208203;CENTRO EDUCACIONAL COLORINDO A VIDA;42160731;1;0;1;0;0;0;0;0;1;0;0;1;134;8;;
Tubarão;4218707;CEI DORIVALDA BRISTOT DE CAMPOS;42160740;1;0;1;0;0;0;1;0;0;0;0;0;142;17;-28.45630243;-49.02973481
Palhoça;4211900;CENTRO DE EDUCACAO INFANTIL MARIA DE FATIMA;42160758;1;0;1;0;0;0;0;0;1;0;0;0;23;3;;
Chapecó;4204202;CENTRO DE EDUCACAO INFANTIL PROFESSORA JULIANA SIVE POMMERENING;42160766;1;0;1;0;0;0;0;1;0;0;0;1;380;24;-27.08940526;-52.68903326
Florianópolis;4205407;EBM PROFESSORA ZULMA FREITAS DE SOUZA;42160774;2;0;1;0;0;0;1;0;0;0;0;1;339;19;;
Florianópolis;4205407;NEIM EVANDRO DE SOUSA;42160782;1;0;1;0;0;0;0;1;0;0;0;0;218;20;-27.60118713;-48.533227
Florianópolis;4205407;NEIM JOSE RODRIGUES WILLAMIL;42160790;1;0;1;0;0;0;1;0;0;0;0;1;249;24;;
Florianópolis;4205407;NEIM MORRO DO HORACIO;42160812;1;0;1;0;0;0;1;0;0;0;0;0;136;16;-27.5833097;-48.53413051
Araranguá;4201406;PRE-ESCOLAR PROFª OTILIA DA SILVA BERTI;42160820;1;0;1;0;0;0;1;0;0;0;0;0;24;3;-28.92936291;-49.48856833
Araranguá;4201406;CENTRO DE EDUCACAO INFANTIL ESTRELINHA DO CEU;42160839;2;0;1;0;0;0;0;1;0;0;0;0;64;4;-29.00736475;-49.57338898
Porto Belo;4213500;NUCLEO DE DESENVOLVIMENTO INFANTIL LAURO MANOEL MENDONCA;42160847;1;0;1;0;0;0;1;0;0;0;0;1;176;21;;
