NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Jaraguá do Sul;4208906;CMEI DANIEL CARLOS PRETTI;42127319;1;0;1;0;0;0;1;0;0;0;0;1;161;10;-26.3687065;-49.127453
Timbó;4218202;UNIDADE PRE ESCOLAR COMECINHO DE VIDA;42127327;2;0;1;0;0;0;1;1;0;0;0;1;42;9;-26.78651964;-49.24289347
Mafra;4210100;ESC AGRICOLA MUN PREF JOSE S FILHO;42127335;2;0;1;0;0;0;0;1;0;0;0;1;133;21;-26.16303667;-49.77650833
Joaçaba;4209003;CEI RITA MARIA COSTENARO PETRY;42127360;1;0;1;0;0;0;0;1;0;0;0;1;131;22;-27.15573705;-51.56535197
Joinville;4209102;CENTRO DE EDUCACAO INFANTIL PEQUENA SEREIA;42127459;1;0;1;0;0;0;1;0;0;0;0;1;123;8;-26.28294;-48.88223
Passo de Torres;4212254;CEI MUNDO FELIZ;42127483;1;0;1;0;0;0;1;0;0;0;0;0;243;24;-29.3198328;-49.7279451
Araranguá;4201406;CENTRO EDUCACIONAL CRIANCA FELIZ;42127491;1;0;1;0;0;0;1;0;0;0;0;1;99;10;-28.94403;-49.49692
Araranguá;4201406;EMEIF ADELINA MARIA SILVANO SOARES;42127530;1;0;1;0;0;0;1;0;0;0;0;0;96;8;-28.95544883;-49.51585569
Araranguá;4201406;CENTRO EDUCACIONAL XODO DA TIA JOYCE;42127564;1;0;1;0;0;0;1;0;0;0;0;0;158;8;-28.9409131;-49.48051315
Araranguá;4201406;CEI CIDADE ENCANTADA;42127572;1;0;1;0;0;0;0;1;0;0;0;0;100;10;-28.94958;-49.46866
Balneário Arroio do Silva;4201950;CEI CARMEM MATOS BORGES;42127629;1;0;1;0;0;0;0;1;0;0;0;0;260;23;-28.98330498;-49.41576767
