NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Florianópolis;4205407;INSTITUTO ESTADUAL DE EDUCACAO;42000017;1;0;1;0;0;0;1;0;0;0;0;1;4965;210;-27.59947409;-48.54605546
Florianópolis;4205407;NEIM CRISTO REDENTOR;42000033;1;0;1;0;0;0;1;0;0;0;0;0;89;13;-27.6001771;-48.5436378
Florianópolis;4205407;CEI MORRO DA CAIXA;42000041;1;0;1;0;0;0;1;0;0;0;0;0;80;5;-27.6000017;-48.5805333
Florianópolis;4205407;CENTRO EDUC NS MONTE SERRAT;42000068;1;0;1;0;0;0;1;0;0;0;0;0;80;5;-27.5923268;-48.5367103
Florianópolis;4205407;CEI GIRASSOL;42000106;1;0;1;0;0;0;1;0;0;0;0;1;371;20;-27.59344879;-48.54570094
Florianópolis;4205407;EEB PROF HENRIQUE STODIECK;42000220;1;0;1;0;0;0;1;0;0;0;0;0;510;33;-27.59387446;-48.55237872
Florianópolis;4205407;COLEGIO BOM JESUS CORACAO DE JESUS;42000238;1;0;1;0;0;0;1;0;0;0;0;1;991;58;-27.59461725;-48.54670177
Florianópolis;4205407;COLEGIO ADVENTISTA DE FLORIANOPOLIS - CENTRO;42000246;1;0;1;0;0;0;1;0;0;0;0;0;930;47;-27.59382958;-48.54788032
Florianópolis;4205407;EDUCANDARIO IMACULADA CONCEICAO;42000262;1;0;1;0;0;0;1;0;0;0;0;1;1391;93;-27.59327031;-48.55397652
Florianópolis;4205407;IFSC - CAMPUS FLORIANOPOLIS;42000351;1;0;1;0;0;0;1;1;0;0;0;1;2179;259;-27.59390874;-48.54281338
Florianópolis;4205407;NEIM NOSSA SENHORA DE LURDES;42000360;1;0;1;0;0;0;1;0;0;0;0;1;126;20;-27.57795653;-48.52820271
Florianópolis;4205407;CRECHE SAO FRANCISCO DE ASSIS;42000386;1;0;1;0;0;0;1;0;0;0;0;1;113;6;-27.59668466;-48.52467662
