NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Siderópolis;4217600;COLEGIO DOM ORIONE;42012813;1;0;1;0;0;0;1;0;0;0;0;1;257;29;-28.59831846;-49.42288738
Siderópolis;4217600;EEF DEP SILVIO FERRARO;42012821;1;0;1;0;0;0;1;0;1;0;0;1;151;18;-28.59392641;-49.42638047
Siderópolis;4217600;EEB DR TULLO CAVALLAZZI;42012830;1;0;1;0;0;0;1;0;0;0;0;1;143;13;-28.5805041;-49.4252915
São Francisco do Sul;4216206;CENTRO EDUCACIONAL SENIOR;42012856;1;0;1;0;0;0;1;1;0;0;0;1;38;12;-26.24364;-48.63752
Indaial;4207502;UEI SAO JUDAS TADEU;42012864;1;0;1;0;0;0;1;0;0;0;0;1;262;16;-26.92953688;-49.2241454
Criciúma;4204608;IFSC - CAMPUS CRICIUMA;42012872;1;0;1;0;1;0;0;1;0;0;0;1;542;63;-28.6788;-49.33195
Lages;4209300;EMEB PROF MADALENA MIRANDA LARGURA;42012880;1;0;1;0;0;0;1;1;0;0;0;1;72;8;-27.7878779;-50.3764981
Içara;4207007;CEI CANTINHO DO SORRISO;42012910;1;0;1;0;0;0;0;1;0;0;0;0;29;4;-28.696808;-49.1898991
Içara;4207007;CEI CHAPEUZINHO VERMELHO;42012929;1;0;1;0;0;0;0;1;0;0;0;0;176;7;-28.7541967;-49.2972531
Içara;4207007;CEI ALGODAO DOCE;42012937;1;0;1;0;0;0;1;0;0;0;0;1;173;7;-28.7136087;-49.28486156
Balneário Rincão;4220000;CEI PEIXINHO DOURADO;42012945;1;0;1;0;0;0;0;1;0;0;0;1;206;18;-28.82409362;-49.22832584
Içara;4207007;CEI PEQUENO MUNDO;42012953;1;0;1;0;0;0;1;0;0;0;0;0;97;4;-28.7148867;-49.3092037
Içara;4207007;CEI PEQUENO POLEGAR;42012961;1;0;1;0;0;0;0;0;1;0;0;1;102;6;-28.7182171;-49.2943394
Içara;4207007;CEI PEQUENO PRINCIPE;42012970;1;0;1;0;0;0;0;1;0;0;0;0;130;6;-28.70649;-49.3036191
Balneário Rincão;4220000;CEI POR DO SOL;42012988;1;0;1;0;0;0;0;1;0;0;0;1;65;6;-28.87838855;-49.29542963
Içara;4207007;CEI PRINCIPE ENCANTADO;42012996;1;0;1;0;0;0;0;1;0;0;0;0;97;4;-28.75727513;-49.27408615
Içara;4207007;CEI TEMPO FELIZ;42013011;1;0;1;0;0;0;0;1;0;0;0;0;71;6;-28.69878902;-49.3003372
Içara;4207007;CEI BALAO MAGICO;42013038;1;0;1;0;0;0;0;1;0;0;0;1;164;6;-28.7047232;-49.2967904
Içara;4207007;EEB ANTONIO COLONETTI;42013054;1;0;1;0;0;0;0;1;0;0;0;0;731;63;-28.71667533;-49.28646913
Balneário Rincão;4220000;EEB MELCHIADES BONIFACIO ESPINDOLA;42013062;1;0;1;0;0;0;1;0;0;0;0;0;947;56;-28.8332487;-49.2374066
Içara;4207007;EEB PROF MARIA DA GLORIA SILVA;42013070;1;0;1;0;0;0;1;0;0;0;0;0;614;61;-28.75372769;-49.29730562
Içara;4207007;EEF AUGUSTA SCOTTI BACIS;42013089;1;0;1;0;0;0;1;0;0;0;0;1;222;13;-28.7167218;-49.3147931
Içara;4207007;EMEF MARIA ARLETE BITENCOURT LODETTI;42013097;1;0;1;0;0;0;0;1;0;0;0;1;577;30;-28.707451;-49.3059171
Içara;4207007;EMEF QUINTINO RIZZIERI;42013100;1;0;1;0;0;0;0;1;0;0;0;1;792;36;-28.7133873;-49.2899426
Içara;4207007;EEB ANTONIO G SOBRINHO;42013119;1;0;1;0;0;0;1;0;0;0;0;0;774;57;-28.75824399;-49.27267804
Balneário Rincão;4220000;EEF GERVASIO TEIXEIRA FERNANDES;42013127;1;0;1;0;0;0;1;0;0;0;0;0;585;31;-28.8059191;-49.2411435
Içara;4207007;EMEF PAULO RIZZIERI;42013143;2;0;1;0;0;0;0;1;0;0;0;1;549;25;-28.80528788;-49.28599851
Içara;4207007;EMEIEF SAO RAFAEL;42013160;2;0;1;0;0;0;0;1;0;0;0;0;426;27;-28.755157;-49.3254255
Içara;4207007;EMEF TRANQUILLO PISSETTI;42013178;1;0;1;0;0;0;0;1;0;0;0;1;431;21;-28.69716166;-49.30198188
