NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Santa Cecília;4215505;CEI ARI ALVES DA SILVA;42117771;1;0;1;0;0;0;1;0;0;0;0;1;68;11;-26.95880519;-50.42603374
Santa Cecília;4215505;CEI LUIZ CARLOS ELY;42117780;1;0;1;0;0;0;1;0;0;0;0;1;78;16;-26.9697795;-50.4181464
Praia Grande;4213807;CEI PEQUENO APRENDIZ;42117801;1;0;1;0;0;0;1;0;0;0;0;1;75;7;-29.194336;-49.9259708
Porto União;4213609;NUCLEO DE EDUCACAO INFANTIL PINGO DE GENTE;42117828;1;0;1;0;0;0;1;0;0;0;0;1;88;13;-26.23637;-51.08120333
Florianópolis;4205407;NEIM LAUSIMAR MARIA LAUS;42117836;1;0;1;0;0;0;1;0;0;0;0;1;642;37;-27.4908854;-48.4120381
Florianópolis;4205407;NEIM JOAO MACHADO DA SILVA;42117844;1;0;1;0;0;0;1;0;0;0;0;1;85;9;-27.58028548;-48.54030181
Florianópolis;4205407;NEIM COLONIA Z 11;42117852;1;0;1;0;0;0;1;0;0;0;0;1;169;15;-27.57388023;-48.43086102
Florianópolis;4205407;NEIM ORISVALDINA DA SILVA;42117860;1;0;1;0;0;0;1;0;0;0;0;1;159;14;-27.5992247;-48.4707335
Florianópolis;4205407;NEIM IDALINA OCHOA;42117879;1;0;1;0;0;0;1;0;0;0;0;1;170;13;-27.6662128;-48.5366373
Barra Velha;4202107;CEI MADRE PAULINA;42117887;1;0;1;0;0;0;1;0;0;0;0;0;179;21;-26.6281599;-48.6879563
Turvo;4218806;CRECHE BAIRRO SAO CRISTOVAO;42117895;1;0;1;0;0;0;1;0;0;0;0;0;35;2;-28.93453435;-49.67151267
São João do Sul;4216404;CEI PARAISO DA CRIANCA;42117917;1;0;1;0;0;0;0;1;0;0;0;0;135;14;-29.22270561;-49.80676834
Ituporanga;4208500;CENTRO DE EDUCACAO INFANTIL DR MARIO CESAR SENS;42117941;1;0;1;0;0;0;1;0;0;0;0;1;84;10;-27.4179591;-49.5891208
Ituporanga;4208500;CENTRO DE EDUCACAO INFANTIL CECILIA KOPP THIESEN;42117950;1;0;1;0;0;0;1;0;0;0;0;1;43;7;-27.40590288;-49.59992808
Cocal do Sul;4204251;EEF CRISTO REI;42117968;1;0;1;0;0;0;1;0;0;0;0;1;514;31;-28.59042648;-49.32850781
Criciúma;4204608;EMEB ADOLFO BACK;42118000;1;0;1;0;0;0;1;0;0;0;0;1;473;35;-28.69503118;-49.42844777
Criciúma;4204608;EMEB ERICO NONNENMACHER;42118018;1;0;1;0;0;0;1;0;0;0;0;1;275;18;-28.69001164;-49.39983549
São Bento do Sul;4215802;CEIM CASTELO ENCANTADO;42118042;1;0;1;0;0;0;1;1;0;0;0;1;213;21;-26.22936412;-49.41652855
Laguna;4209409;CEI MICKEY MOUSE;42118115;2;0;1;0;0;0;0;0;1;0;0;1;74;6;-28.38396154;-48.78956655
Pescaria Brava;4212650;CEI PEIXINHO COLORIDO;42118140;2;0;1;0;0;0;0;1;0;0;0;0;42;5;-28.3733194;-48.917719
Massaranduba;4210605;PE BALAO MAGICO;42118158;1;0;1;0;0;0;0;0;1;0;0;0;40;3;-26.6239355;-49.0158928
Guaramirim;4206504;EMEF E PE VEREADOR ARMIN BYLAARDT;42118182;1;0;1;0;0;0;1;0;0;0;0;1;100;18;-26.469866;-49.0349376
Guaramirim;4206504;EMEF E PRE ESCOLA PROFESSOR ATILANO KRUGER;42118190;1;0;1;0;0;0;0;1;0;0;0;1;304;18;-26.479628;-48.9839629
Fraiburgo;4205506;COLEGIO CARLOS DRUMMOND DE ANDRADE;42118239;1;0;1;0;0;0;1;0;0;0;0;0;381;24;-27.02725697;-50.90913092
Barra Velha;4202107;CENTRO EDUCACIONAL CHICO BENTO;42118247;1;0;1;0;0;0;1;0;0;0;0;1;93;12;-26.632369;-48.6910086
Maravilha;4210506;DOM SISTEMA EDUCACIONAL;42118255;1;0;1;0;0;0;0;1;0;0;0;1;214;22;-26.767805;-53.17535333
Blumenau;4202404;CEI DANIEL BRESSANINI;42118280;1;0;1;0;0;0;1;0;0;0;0;0;153;22;-26.880676;-49.0456463
Fraiburgo;4205506;CEM ANTONIO PORTO BURDA;42118328;1;0;1;0;0;0;1;0;0;0;0;1;409;24;-27.05712167;-50.93865833
Florianópolis;4205407;NEIM DORALICE TEODORA BASTOS;42118336;1;0;1;0;0;0;1;0;0;0;0;1;333;22;-27.43373669;-48.45663719
Caçador;4203006;EMEB VEREDA DOS TREVOS;42118344;1;0;1;0;0;0;1;1;0;0;0;1;223;15;-26.79218167;-51.00304667
Chapecó;4204202;CENTRO EDUC APRENDER BRINCAR CRESCER;42118352;1;0;1;0;0;0;1;0;0;0;0;1;130;13;-27.09695;-52.61459
Campo Alegre;4203303;EMEB MARIA JOSE DUARTE SILVA BERNARDES;42118395;1;0;1;0;1;0;0;1;0;0;0;1;605;28;-26.19138977;-49.26371931
